Year,ISO3 Code,Rank,Country,Greenplexity Index,Change in 5yrs
2022,JPN,1,Japan,3.47,0
2022,DEU,2,Germany,3.31,0
2022,CZE,3,Czech Republic,2.89,3
2022,CHN,4,China,2.68,1
2022,FRA,5,France,2.55,-2
2022,ITA,6,Italy,2.48,3
2022,USA,7,United States of America,2.45,-3
2022,AUT,8,Austria,2.43,-1
2022,HUN,9,Hungary,2.37,1
2022,ROU,10,Romania,2.34,3
2022,GBR,11,United Kingdom of Great Britain and Northern Ireland,2.30,4
2022,SVN,12,Slovenia,2.27,0
2022,KOR,13,South Korea,2.18,-5
2022,TWN,14,Taiwan,2.16,-3
2022,POL,15,Poland,2.11,4
2022,SWE,16,Sweden,2.04,-2
2022,DNK,17,Denmark,2.01,-1
2022,CHE,18,Switzerland,1.95,-1
2022,SVK,19,Slovakia,1.83,3
2022,SGP,20,Singapore,1.76,0
2022,FIN,21,Finland,1.62,0
2022,MEX,22,Mexico,1.62,8
2022,NLD,23,Netherlands,1.50,0
2022,ISR,24,Israel,1.49,3
2022,BEL,25,Belgium,1.45,-7
2022,THA,26,Thailand,1.42,-1
2022,HRV,27,Croatia,1.36,4
2022,ESP,28,Spain,1.35,1
2022,EST,29,Estonia,1.34,-3
2022,LTU,30,Lithuania,1.29,-2
2022,MYS,31,Malaysia,1.27,-7
2022,IND,32,India,1.17,5
2022,LVA,33,Latvia,1.15,2
2022,HKG,34,Hong Kong,1.12,0
2022,SRB,35,Serbia,1.08,3
2022,TUN,36,Tunisia,1.04,0
2022,BGR,37,Bulgaria,1.01,2
2022,PRT,38,Portugal,0.79,-6
2022,PHL,39,Philippines,0.76,3
2022,TUR,40,Turkiye,0.73,0
2022,VNM,41,Vietnam,0.68,4
2022,BIH,42,Bosnia and Herzegovina,0.66,9
2022,BLR,43,Belarus,0.44,-10
2022,CRI,44,Costa Rica,0.38,3
2022,CAN,45,Canada,0.32,-4
2022,ARE,46,United Arab Emirates,0.32,-3
2022,MKD,47,North Macedonia,0.31,25
2022,IRL,48,Ireland,0.31,-4
2022,ARM,49,Armenia,0.27,21
2022,LBN,50,Lebanon,0.24,-4
2022,IDN,51,Indonesia,0.14,-2
2022,SLV,52,El Salvador,0.13,6
2022,NZL,53,New Zealand,0.11,2
2022,MDA,54,Moldova,0.08,-2
2022,CYP,55,Cyprus,0.05,-7
2022,COL,56,Colombia,0.05,6
2022,UKR,57,Ukraine,0.04,-7
2022,DOM,58,Dominican Republic,0.03,5
2022,GRC,59,Greece,0.02,-3
2022,EGY,60,Egypt,-0.18,5
