country_iso3,population
BDI,13689450.0
COM,850387.0
DJI,1152944.0
ERI,3470390.0
ETH,128691692.0
KEN,55339003.0
MDG,31195932.0
MWI,21104482.0
MUS,1273588.0
MYT,316015.0
MOZ,33635160.0
REU,874883.0
RWA,13954472.0
SYC,127951.0
SOM,18358615.0
SSD,11483374.0
UGA,48656601.0
TZA,66617606.0
ZMB,20723965.0
ZWE,16340822.0
AGO,36749906.0
CMR,28372687.0
CAF,5152420.0
TCD,19319064.0
COG,6182885.0
COD,105789731.0
GNQ,1847549.0
GAB,2484788.0
STP,230871.0
DZA,46164219.0
EGY,114535772.0
LBY,7305659.0
MAR,37712505.0
SDN,50042791.0
TUN,12200431.0
ESH,579729.0
BWA,2480244.0
SWZ,1230506.0
LSO,2311472.0
NAM,2963095.0
ZAF,63212384.0
BEN,14111034.0
BFA,23025776.0
CPV,522330.00000000006
CIV,31165654.0
GMB,2697846.0
GHA,33787914.0
GIN,14405468.0
GNB,2153339.0
LBR,5493031.0
MLI,23769127.0
MRT,5022442.0
NER,26159867.0
NGA,227882945.0
SHN,5288.0
SEN,18077573.0
SLE,8460512.0
TGO,9304338.0
KAZ,20330104.0
KGZ,7073516.0
TJK,10389798.0
TKM,7364438.0
UZB,35652307.0
CHN,1422584933.0
HKG,7442734.0
MAC,713912.0
TWN,23317145.0
PRK,26418204.0
JPN,124370947.0
MNG,3431932.0
KOR,51748739.0
AFG,41454761.0
BGD,171466990.0
BTN,786385.0
IND,1438069596.0
IRN,90608707.0
MDV,525994.0
NPL,29694614.0
PAK,247504495.0
LKA,22971617.0
BRN,458949.0
KHM,17423880.0
IDN,281190067.0
LAO,7664992.0
MYS,35126298.0
MMR,54133798.0
PHL,114891199.0
SGP,5789090.0
THA,71702435.0
TLS,1384286.0
VNM,100352192.0
ARM,2943393.0
AZE,10318207.0
BHR,1569666.0
CYP,1344976.0
GEO,3807492.0
IRQ,45074049.0
ISR,9256314.0
JOR,11439214.0
KWT,4838782.0
LBN,5773492.0
OMN,5049269.0
QAT,2979082.0
SAU,33264292.0
PSE,5409202.0
SYR,23594623.0
TUR,87270502.0
ARE,10642081.0
YEM,39390799.0
BLR,9115680.0
BGR,6795803.0
CZE,10809716.0
HUN,9686464.0
POL,38762844.0
MDA,3067070.0
ROU,19118479.0
RUS,145440500.0
SVK,5518054.0
UKR,37732836.0
DNK,5948136.0
EST,1367196.0
FRO,54714.0
FIN,5601185.0
GGY,64016.99999999999
ISL,387558.0
IRL,5196630.0
IMN,84165.0
JEY,103674.0
LVA,1882396.0
LTU,2854099.0
NOR,5519167.0
SWE,10551494.0
GBR,68682962.0
ALB,2811655.0
AND,80856.0
BIH,3185073.0
HRV,3896023.0
GIB,38471.0
GRC,10242908.0
VAT,496.0
ITA,59499453.0
XKX,1700031.0
MLT,532956.0
MNE,633552.0
MKD,1831802.0
PRT,10430738.0
SMR,33733.0
SRB,6773201.0
SVN,2118396.0
ESP,47911580.0
AUT,9130429.0
BEL,11712893.0
FRA,66438822.0
DEU,84548231.0
LIE,39598.0
LUX,665098.0
MCO,38956.0
NLD,18092524.0
CHE,8870561.0
AIA,14410.0
ATG,93316.0
ABW,107939.0
BHS,399440.0
BRB,282336.0
BES,29898.0
VGB,38985.0
CYM,73038.0
CUB,11019930.0
CUW,185427.0
DMA,66510.0
DOM,11331266.0
GRD,117081.0
GLP,376516.0
HTI,11637398.0
JAM,2839786.0
MTQ,346002.0
MSR,4420.0
PRI,3242022.0
BLM,11085.0
KNA,46758.0
LCA,179285.0
MAF,27515.0
VCT,101323.0
SXM,42749.0
TTO,1502932.0
TCA,46198.0
VIR,85701.0
BLZ,411106.0
CRI,5105526.0
SLV,6309624.0
GTM,18124838.0
HND,10644851.0
MEX,129739759.0
NIC,6823613.0
PAN,4458759.0
ARG,45538401.0
BOL,12244160.0
BRA,211140729.0
CHL,19658835.0
COL,52321152.0
ECU,17980083.0
FLK,3477.0
GUF,303402.0
GUY,826353.0
PRY,6844146.0
PER,33845617.0
SUR,628886.0
URY,3388080.0
VEN,28300854.0
BMU,64697.99999999999
CAN,39299104.0
GRL,55922.0
SPM,5681.0
USA,343477335.0
AUS,26451124.0
NZL,5172836.0
FJI,924146.0
NCL,289870.0
PNG,10389635.0
SLB,800006.0
VUT,320408.0
GUM,166506.0
KIR,132530.0
MHL,38827.0
FSM,112630.0
NRU,11875.0
MNP,45143.0
PLW,17727.0
ASM,47521.0
COK,14222.0
PYF,281118.0
NIU,1817.0
WSM,216663.0
TKL,2398.0
TON,104598.0
TUV,9816.0
WLF,11370.0
