t,i,j,k,v,q
2023,4,56,850440,0.009,
2023,4,76,850300,4.784,0.178
2023,4,76,850440,19.336,0.015
2023,4,76,854690,2.109,0.002
2023,4,124,850440,0.36,0.005
2023,4,156,850440,0.576,0.004
2023,4,196,850300,0.184,0.001
2023,4,208,850450,0.214,0.001
2023,4,214,850440,0.814,0.008
2023,4,320,850440,2.652,0.007
2023,4,372,840290,0.515,0.006
2023,4,372,850440,0.543,0.003
2023,4,372,850450,0.993,0.007
2023,4,384,850440,0.285,0.069
2023,4,604,850300,1.213,0.003
2023,4,686,850450,1.598,1.842
2023,4,699,850440,0.142,0.002
2023,4,702,850440,0.205,0.003
2023,4,703,850440,1.458,0.032
2023,4,703,854460,0.391,0.04
2023,4,724,850450,0.086,0.001
2023,4,784,850300,0.018,
2023,4,784,850440,0.888,0.013
2023,4,854,854460,21.293,0.978
2023,8,40,850440,4.233,0.169
2023,8,40,850450,11.754,1.028
2023,8,56,850440,0.001,
2023,8,70,271320,6975.721,12952.661
2023,8,70,271390,335.421,602.18
2023,8,100,850440,1.913,0.091
2023,8,124,850300,0.081,
2023,8,152,850440,4.203,0.063
2023,8,156,850440,3.651,0.02
2023,8,156,850450,0.482,0.027
2023,8,208,761300,0.032,0.012
2023,8,208,850440,0.384,0.001
2023,8,251,850440,0.24,0.01
2023,8,251,850450,2.119,0.042
2023,8,276,850300,8.244,0.84
2023,8,276,850440,6.97,0.203
2023,8,276,850450,524.173,64.642
2023,8,300,271600,215622.223,
2023,8,300,850440,7.839,0.125
2023,8,344,850440,2.974,0.045
2023,8,348,850440,55.693,1.496
2023,8,372,850440,0.096,0.001
2023,8,372,854460,74.688,8.393
2023,8,380,840390,1938.318,96.896
2023,8,380,850300,13459.058,4834.457
2023,8,380,850440,77.584,2.776
2023,8,380,850450,14223.688,1392.6
2023,8,380,854460,1.083,0.088
2023,8,480,850450,0.075,0.002
2023,8,490,850440,0.77,0.004
2023,8,499,271320,8468.023,16546.729
2023,8,499,271600,336.235,
2023,8,499,850440,9.387,0.21
2023,8,528,271390,0.022,0.001
2023,8,528,850440,3.578,0.016
2023,8,579,850450,2.134,0.009
2023,8,586,850440,0.112,0.002
2023,8,600,850440,0.096,0.009
2023,8,682,761300,2295.954,
2023,8,682,850450,0.794,
2023,8,686,850440,16.604,9.849
2023,8,688,271320,7673.83,11654.663
2023,8,688,271600,26064.878,
2023,8,688,840212,55.028,34.85
2023,8,688,850220,1.279,1.69
2023,8,688,850440,65.783,3.595
2023,8,702,850440,0.255,0.004
2023,8,703,850440,0.016,0.001
2023,8,705,271600,18992.832,
2023,8,705,850440,0.217,
2023,8,716,850440,1.67,1.519
2023,8,724,850440,5.831,0.131
2023,8,757,271600,35664.0,
2023,8,757,850440,0.09,0.002
2023,8,764,850440,0.796,0.005
2023,8,764,854460,0.01,0.002
2023,8,784,850450,1.762,
2023,8,807,271320,725.469,1354.64
2023,8,807,271600,40618.214,
2023,8,807,850440,33.629,2.014
2023,8,826,840390,1.417,0.019
2023,8,842,850440,4.759,0.071
2023,8,858,850440,0.074,0.002
2023,12,40,850300,0.35,0.002
2023,12,40,850440,5.853,0.084
2023,12,48,271390,1132.523,1245.489
2023,12,56,840690,1099.963,5.4
2023,12,56,850450,0.43,0.314
2023,12,124,850300,5.591,
2023,12,156,841199,1003.302,2.16
2023,12,156,850440,0.031,0.001
2023,12,203,850440,3.039,0.032
2023,12,203,854690,0.746,0.014
2023,12,251,850440,18.452,0.026
2023,12,251,854159,0.038,
2023,12,251,854460,8.871,0.022
2023,12,266,854460,212.6,30.861
2023,12,348,850440,0.054,0.001
2023,12,372,850440,0.048,0.001
2023,12,380,850440,225.892,2.903
2023,12,380,854460,10145.967,2295.628
2023,12,384,854460,232.622,20.263
2023,12,398,841199,786.417,2.242
2023,12,442,850440,0.024,0.001
2023,12,528,850440,1.256,0.007
2023,12,562,271320,25.468,28.62
2023,12,562,850220,22.508,3.67
2023,12,620,850220,0.072,0.007
2023,12,724,841199,2.608,0.03
2023,12,752,841199,27.238,0.199
2023,12,752,854460,0.188,0.033
2023,12,757,841199,2056.499,5.929
2023,12,757,850440,0.937,0.004
2023,12,788,271600,223117.044,
2023,12,788,854460,563.109,119.789
2023,12,818,840310,0.042,0.003
2023,12,818,854460,85.231,8.545
2023,12,834,850440,0.84,0.214
2023,12,854,761300,2.832,0.046
2023,12,854,854460,22.061,2.038
2023,16,76,850440,0.56,0.001
2023,16,188,850440,2.73,0.034
2023,16,251,850440,1.169,0.004
2023,16,372,850440,0.028,0.001
2023,16,392,850440,41.689,0.07
2023,16,682,850440,0.709,0.011
